"state","account.length","international.plan","voice.mail.plan","number.vmail.messages","total.day.calls","total.day.charge","total.eve.calls","total.eve.charge","total.night.calls","total.night.charge","total.intl.calls","total.intl.charge","number.customer.service.calls","Churn"
"17",128,"1","2",25,110,45.07,99,16.78,91,11.01,3,2.7,1,"1"
"36",107,"1","2",26,123,27.47,103,16.62,103,11.45,3,3.7,1,"1"
"32",137,"1","1",0,114,41.38,110,10.3,104,7.32,5,3.29,0,"1"
"36",84,"2","1",0,71,50.9,88,5.26,89,8.86,7,1.78,2,"1"
"37",75,"2","1",0,113,28.34,122,12.61,121,8.41,3,2.73,3,"1"
"2",118,"2","1",0,98,37.98,101,18.75,118,9.18,6,1.7,0,"1"
"20",121,"1","2",24,88,37.09,108,29.62,118,9.57,7,2.03,3,"1"
"25",147,"2","1",0,79,26.69,94,8.76,96,9.53,6,1.92,0,"1"
"19",117,"1","1",0,97,31.37,80,29.89,90,9.71,4,2.35,1,"1"
"50",141,"2","2",37,84,43.96,111,18.87,97,14.69,5,3.02,0,"1"
"16",65,"1","1",0,137,21.95,83,19.42,111,9.4,6,3.43,4,"2"
"40",74,"1","1",0,127,31.91,148,13.89,94,8.82,5,2.46,0,"1"
"13",168,"1","1",0,96,21.9,71,8.92,128,6.35,2,3.02,1,"1"
"27",95,"1","1",0,88,26.62,75,21.05,115,8.65,5,3.32,3,"1"
"13",62,"1","1",0,70,20.52,76,26.11,99,9.14,6,3.54,4,"1"
"35",161,"1","1",0,67,56.59,97,27.01,128,7.23,9,1.46,4,"2"
"14",85,"1","2",27,139,33.39,90,23.88,75,4.02,4,3.73,1,"1"
"47",93,"1","1",0,114,32.42,111,18.55,121,5.83,3,2.19,3,"1"
"46",76,"1","2",33,66,32.25,65,18.09,108,7.46,5,2.7,1,"1"
"44",73,"1","1",0,90,38.15,88,13.56,74,8.68,2,3.51,1,"1"
"10",147,"1","1",0,117,26.37,93,20.37,133,9.4,4,2.86,0,"1"
"6",77,"1","1",0,89,10.61,121,14.44,64,9.43,6,1.54,5,"2"
"4",130,"1","1",0,112,31.11,99,6.2,78,8.18,19,2.57,0,"1"
"41",111,"1","1",0,103,18.77,102,11.67,105,8.53,6,2.08,2,"1"
"46",132,"1","1",0,86,13.79,72,20.84,115,10.67,2,2.78,0,"1"
"30",174,"1","1",0,76,21.13,112,23.55,115,11.28,5,4.19,3,"1"
"51",57,"1","2",39,115,36.21,112,16.24,115,8.22,3,2.57,0,"1"
"27",54,"1","1",0,73,22.83,100,13.22,68,4.59,4,3.97,3,"1"
"25",20,"1","1",0,109,32.3,84,21.95,102,8.17,6,1.7,0,"1"
"12",49,"1","1",0,117,20.28,109,18.28,90,8.04,1,3,1,"1"
"15",142,"1","1",0,95,14.42,63,11.62,148,11.27,6,3.83,2,"1"
"31",75,"1","1",0,105,38.44,107,17.13,98,11.08,5,2.78,1,"1"
"19",172,"1","1",0,121,36.04,115,2.65,78,13.2,10,3.4,3,"1"
"4",12,"1","1",0,118,42.43,119,21.45,90,12.61,3,3.19,1,"2"
"37",57,"1","2",25,94,30.06,75,16.58,116,9.61,4,2.24,0,"1"
"11",72,"1","2",37,80,37.4,102,18.47,71,6.88,6,3.97,3,"1"
"1",36,"1","2",30,128,24.87,80,13.81,109,5.82,6,3.92,0,"1"
"20",78,"1","1",0,64,22.24,116,19.01,108,10.25,5,2.7,1,"1"
"1",136,"2","2",33,106,34.66,99,15.95,107,4.58,6,2.84,3,"1"
"32",149,"1","1",0,94,23.87,92,23.1,108,8.47,9,3,1,"1"
"11",98,"1","1",0,102,21.47,85,14.18,135,8.45,2,2.54,3,"1"
"21",135,"2","2",41,85,29.43,107,17.33,78,5.5,15,3.94,0,"2"
"3",34,"1","1",0,82,21.22,98,23.99,78,14.02,4,2.7,2,"1"
"14",160,"1","1",0,77,14.59,110,14.05,92,8.03,4,2.48,3,"1"
"49",64,"1","1",0,67,26.18,118,19.19,86,11.94,3,0.95,1,"1"
